id,age,balance,housing,loan,campaign,Cluster
110,45,523.0,1,0,2,0
111,29,31.0,1,0,1,0
112,46,79.0,0,0,1,1
113,56,-34.0,1,1,2,0
114,36,448.0,1,0,1,0
115,59,81.0,1,0,1,0
116,44,144.0,1,0,2,0
117,41,351.0,1,0,1,0
118,33,-67.0,1,0,1,0
119,59,262.0,0,0,1,1
120,57,0.0,0,0,1,1
121,56,56.0,1,0,1,0
122,51,26.0,1,0,1,0
123,34,3.0,1,0,3,0
124,43,41.0,1,1,2,0
125,52,7.0,0,1,1,1
126,33,105.0,1,0,2,0
127,29,818.0,1,1,1,0
128,34,-16.0,1,1,1,0
129,31,0.0,1,0,1,0
130,55,2476.0,1,0,1,0
131,55,1185.0,0,0,1,1
132,32,217.0,1,0,1,0
133,38,1685.0,1,0,1,0
134,55,802.0,1,1,2,0
135,28,0.0,1,0,2,0
136,23,94.0,1,0,1,0
137,32,0.0,1,0,1,0
138,43,0.0,0,0,1,1
139,32,517.0,1,0,1,0
140,46,265.0,1,0,1,0
141,53,947.0,1,0,1,0
142,34,3.0,1,0,1,0
143,57,42.0,0,0,1,1
144,37,37.0,1,0,1,0
145,59,57.0,1,0,1,0
146,33,22.0,1,0,1,0
147,56,8.0,1,0,2,0
148,48,293.0,1,0,1,0
149,43,3.0,1,0,2,0
150,54,348.0,1,0,2,0
151,51,-19.0,1,0,2,0
152,26,0.0,1,0,2,0
153,40,-4.0,1,0,1,0
154,39,18.0,1,0,1,0
155,50,139.0,0,0,2,1
156,41,0.0,1,0,2,0
157,51,1883.0,1,0,1,0
158,60,216.0,1,0,1,0
159,52,782.0,1,0,3,0
160,48,904.0,1,0,2,0
161,48,1705.0,1,0,1,0
162,39,47.0,1,0,1,0
163,47,176.0,1,0,2,0
164,40,1225.0,1,0,5,0
165,45,86.0,1,0,1,0
166,26,82.0,1,0,1,0
167,52,271.0,1,0,1,0
168,54,1378.0,1,0,1,0
169,54,184.0,0,0,2,1
170,50,0.0,0,0,3,1
171,35,0.0,1,0,1,0
172,44,1357.0,1,1,1,0
173,53,19.0,1,0,1,0
174,35,434.0,0,0,1,1
175,60,92.0,1,0,1,0
176,53,1151.0,1,0,1,0
177,48,41.0,1,0,2,0
178,34,51.0,1,0,2,0
179,54,214.0,1,0,2,0
180,51,1161.0,1,0,1,0
181,31,37.0,1,0,1,0
182,35,787.0,1,0,2,0
183,35,59.0,1,0,1,0
184,38,253.0,1,0,1,0
185,36,211.0,1,0,2,0
186,58,235.0,1,0,1,0
187,40,4384.0,1,0,1,0
188,54,4080.0,0,0,1,1
189,34,53.0,1,1,1,0
190,31,0.0,1,0,1,0
191,51,2127.0,1,0,1,0
192,33,377.0,1,0,1,0
193,55,73.0,1,0,2,0
194,42,445.0,1,0,1,0
195,34,243.0,1,0,1,0
196,33,307.0,1,0,2,0
197,38,155.0,1,0,1,0
198,50,173.0,0,1,1,1
199,43,400.0,1,0,1,0
200,61,1428.0,1,0,2,0
201,47,219.0,1,0,1,0
202,48,7.0,1,0,1,0
203,44,575.0,1,0,1,0
204,35,298.0,1,0,2,0
205,35,0.0,1,0,1,0
206,50,5699.0,1,0,2,0
207,41,176.0,1,1,1,0
208,41,517.0,1,0,1,0
209,39,257.0,1,0,1,0
210,42,56.0,1,0,1,0
211,38,-390.0,1,0,1,0
212,53,330.0,1,0,2,0
213,59,195.0,0,0,2,1
214,36,301.0,1,0,1,0
215,54,-41.0,1,0,1,0
216,40,483.0,1,0,1,0
217,47,28.0,0,0,2,1
218,53,13.0,0,0,3,1
219,46,965.0,0,0,1,1
220,39,378.0,1,1,2,0
221,40,219.0,1,0,1,0
222,28,324.0,1,0,1,0
223,35,-69.0,1,0,1,0
224,55,0.0,0,1,1,1
225,43,205.0,1,0,1,0
226,48,278.0,1,0,2,0
227,58,1065.0,1,0,3,0
228,33,34.0,1,0,1,0
229,36,1033.0,0,0,2,1
230,53,1467.0,1,0,1,0
231,47,-12.0,1,0,1,0
232,31,388.0,1,0,2,0
233,57,294.0,1,0,2,0
234,53,1827.0,0,0,1,1
235,55,627.0,1,0,1,0
236,45,25.0,1,0,1,0
237,53,315.0,1,0,2,0
238,37,0.0,1,0,1,0
239,44,66.0,1,0,1,0
240,49,-9.0,1,1,1,0
241,46,349.0,1,1,1,0
242,43,100.0,1,0,1,0
243,38,0.0,0,0,1,1
244,43,434.0,1,0,1,0
245,49,3237.0,1,0,3,0
246,42,275.0,0,0,2,1
247,22,0.0,1,0,2,0
248,40,207.0,1,0,1,0
249,39,483.0,1,0,1,0
250,51,2248.0,1,0,2,0
251,49,428.0,1,0,1,0
252,53,0.0,1,1,1,0
253,34,0.0,1,0,1,0
254,33,140.0,1,0,1,0
255,50,297.0,1,0,1,0
256,39,279.0,1,0,1,0
257,59,901.0,1,0,3,0
258,30,2573.0,1,0,2,0
259,36,143.0,1,1,1,0
260,40,475.0,1,0,2,0
261,53,70.0,1,0,2,0
262,34,318.0,1,0,2,0
263,37,275.0,1,0,1,0
264,42,742.0,1,0,3,0
265,41,236.0,1,0,1,0
266,30,25.0,1,0,2,0
267,37,600.0,1,0,1,0
268,39,-349.0,1,0,2,0
269,41,183.0,1,1,2,0
270,40,0.0,1,0,1,0
271,42,0.0,1,1,2,0
272,40,0.0,1,0,1,0
273,57,1078.0,1,0,4,0
274,56,155.0,0,0,3,1
275,37,190.0,1,0,2,0
276,59,319.0,1,0,3,0
277,39,-185.0,1,0,3,0
278,49,47.0,0,0,2,1
279,38,570.0,1,0,2,0
280,36,19.0,0,0,2,1
281,50,61.0,1,0,3,0
282,41,-62.0,1,1,2,0
283,54,258.0,0,0,4,1
284,58,76.0,1,0,2,0
285,30,0.0,1,0,2,0
286,33,352.0,1,0,2,0
287,47,368.0,1,0,2,0
288,50,339.0,1,0,3,0
289,32,1331.0,1,0,2,0
290,40,672.0,1,0,2,0
291,37,58.0,1,0,2,0
292,54,447.0,1,0,2,0
293,24,423.0,1,0,3,0
294,54,0.0,0,0,2,1
295,34,19.0,1,0,4,0
296,56,13.0,1,0,2,0
297,31,3.0,1,0,2,0
298,24,82.0,1,0,2,0
299,42,28.0,1,0,3,0
300,57,792.0,1,0,2,0
301,42,408.0,1,0,2,0
302,51,531.0,1,0,2,0
303,57,211.0,1,0,2,0
304,36,62.0,1,0,2,0
305,53,257.0,1,0,2,0
306,50,1234.0,1,0,2,0
307,54,313.0,1,0,2,0
308,55,89.0,1,0,3,0
309,44,129.0,1,1,2,0
310,43,0.0,1,0,2,0
311,56,353.0,1,0,2,0
312,54,851.0,1,0,2,0
313,55,96.0,1,1,2,0
314,37,398.0,1,1,2,0
315,33,193.0,0,0,2,1
316,46,-358.0,1,0,2,0
317,36,539.0,1,1,2,0
318,51,0.0,1,0,2,0
319,40,0.0,0,0,2,1
320,42,490.0,1,0,2,0
321,51,0.0,1,0,2,0
322,49,403.0,1,0,2,0
323,48,161.0,1,0,3,0
324,32,2558.0,0,0,2,1
325,31,98.0,1,0,2,0
326,55,115.0,0,0,4,1
327,40,436.0,1,0,3,0
328,47,831.0,1,0,3,0
329,57,206.0,1,0,3,0
330,41,290.0,1,0,2,0
331,48,1.0,0,0,3,1
332,42,57.0,1,0,2,0
333,30,-457.0,1,0,2,0
334,58,1387.0,1,0,5,0
335,45,24598.0,1,0,3,0
336,49,30.0,1,0,4,0
337,42,1022.0,1,0,2,0
338,53,56.0,1,1,2,0
339,51,-2.0,0,0,3,1
340,32,121.0,1,0,2,0
341,41,842.0,1,0,3,0
342,43,693.0,1,0,3,0
343,40,-333.0,1,0,2,0
344,50,1533.0,1,0,2,0
345,34,46.0,1,0,4,0
346,53,18.0,0,0,2,1
347,45,44.0,1,0,4,0
348,39,-100.0,1,0,2,0
349,44,510.0,1,0,4,0
350,55,685.0,1,0,3,0
351,46,187.0,1,0,2,0
352,45,66.0,1,0,2,0
353,34,560.0,1,0,3,0
354,36,0.0,1,0,2,0
355,59,27.0,0,0,3,1
356,31,12.0,1,0,2,0
357,44,34.0,1,0,4,0
358,33,1068.0,1,0,2,0
359,40,211.0,1,0,4,0
360,46,377.0,1,0,2,0
361,48,263.0,1,0,2,0
362,42,1263.0,1,0,2,0
363,27,8.0,1,0,3,0
364,48,126.0,1,1,2,0
365,59,230.0,1,0,3,0
366,46,841.0,1,0,1,0
367,38,308.0,1,0,1,0
368,43,1.0,1,0,1,0
369,38,86.0,1,0,1,0
370,23,157.0,1,0,1,0
371,34,22.0,1,0,1,0
372,38,46.0,1,1,1,0
373,37,1293.0,0,0,1,1
374,25,122.0,1,0,1,0
375,48,131.0,1,0,1,0
376,49,143.0,1,0,1,0
377,38,393.0,0,0,2,1
378,43,98.0,1,0,1,0
379,33,0.0,1,0,1,0
380,55,224.0,1,0,1,0
381,38,757.0,1,0,1,0
382,49,245.0,1,1,1,0
383,40,8486.0,0,0,3,1
384,43,350.0,0,0,1,1
385,38,20.0,1,0,1,0
386,58,1667.0,1,1,1,0
387,57,345.0,1,0,1,0
388,32,10.0,1,0,4,0
389,56,830.0,1,1,1,0
390,58,29.0,1,0,1,0
391,60,545.0,1,0,1,0
392,37,8730.0,1,0,1,0
393,46,477.0,1,0,1,0
394,27,4.0,1,0,1,0
395,43,1205.0,1,0,2,0
396,32,0.0,1,1,3,0
397,40,263.0,1,0,1,0
398,38,1.0,0,0,1,1
399,34,283.0,0,1,1,1
400,47,206.0,1,0,1,0
401,42,17.0,1,0,1,0
402,48,141.0,1,1,1,0
403,29,16.0,1,0,1,0
404,50,206.0,1,0,1,0
405,52,7.0,0,0,2,1
406,50,0.0,0,0,1,1
407,58,0.0,0,0,1,1
408,46,1927.0,1,0,3,0
409,38,284.0,1,0,1,0
410,46,1660.0,1,0,1,0
411,32,406.0,1,0,1,0
412,51,230.0,1,0,1,0
413,39,-25.0,1,0,1,0
414,48,182.0,1,0,2,0
415,36,1169.0,1,0,2,0
416,34,67.0,1,0,1,0
417,40,77.0,0,0,1,1
418,43,0.0,1,0,1,0
419,52,55.0,1,1,1,0
420,33,72.0,1,0,1,0
421,49,163.0,1,0,3,0
422,32,151.0,1,0,1,0
423,39,113.0,1,0,1,0
424,40,0.0,1,0,1,0
425,38,9.0,1,0,3,0
426,43,375.0,1,0,2,0
427,39,1142.0,1,0,1,0
428,54,2102.0,1,0,1,0
429,38,4325.0,1,0,1,0
430,40,217.0,1,0,1,0
431,55,131.0,1,0,1,0
432,42,1680.0,1,0,1,0
433,39,0.0,1,0,1,0
434,40,46.0,1,0,1,0
435,32,320.0,1,0,2,0
436,55,183.0,1,0,1,0
437,45,39.0,0,0,1,1
438,35,560.0,1,0,1,0
439,58,469.0,0,0,1,1
440,35,530.0,1,0,1,0
441,49,61.0,1,0,1,0
442,34,242.0,1,0,1,0
443,36,139.0,1,0,2,0
444,24,0.0,1,0,1,0
445,34,367.0,1,0,1,0
446,51,228.0,1,0,1,0
447,39,45248.0,1,0,1,1
448,50,-84.0,1,0,1,0
449,32,310.0,1,0,1,0
450,42,132.0,1,0,1,0
451,50,797.0,1,0,1,0
452,40,71.0,0,0,1,1
453,46,2.0,1,0,1,0
454,37,231.0,1,1,2,0
455,34,270.0,1,1,1,0
456,44,274.0,1,1,1,0
457,40,-109.0,1,1,1,0
458,37,1.0,1,0,1,0
459,33,-60.0,0,0,1,1
460,35,89.0,1,0,2,0
461,58,-11.0,0,0,1,1
462,39,0.0,1,0,2,0
463,43,-509.0,1,0,1,0
464,39,408.0,1,0,1,0
465,36,58.0,1,0,1,0
466,57,1640.0,0,1,4,1
467,36,20.0,1,0,1,0
468,50,71.0,1,0,1,0
469,55,52.0,1,0,1,0
470,44,292.0,1,0,1,0
471,44,424.0,1,0,1,0
472,39,109.0,1,0,3,0
473,46,1044.0,1,0,1,0
474,39,983.0,1,0,1,0
475,34,869.0,0,0,1,1
476,40,668.0,1,0,2,0
477,50,964.0,1,0,1,0
478,31,301.0,1,0,1,0
479,37,140.0,1,0,1,0
480,39,1877.0,1,0,1,0
481,51,1127.0,1,0,1,0
482,41,871.0,1,0,1,0
483,41,767.0,1,1,1,0
484,43,0.0,0,0,1,1
485,30,209.0,1,0,2,0
486,54,0.0,0,0,1,1
487,43,110.0,1,1,1,0
488,59,-76.0,1,1,1,0
489,47,178.0,1,0,1,0
490,40,-66.0,1,0,1,0
491,32,0.0,1,0,2,0
492,29,1.0,1,0,1,0
493,36,0.0,1,0,1,0
494,55,5345.0,0,0,1,1
495,30,-209.0,1,0,2,0
496,39,0.0,1,0,2,0
497,39,42.0,1,0,2,0
498,50,41.0,1,0,1,0
499,44,-99.0,1,0,2,0
500,37,17.0,1,0,1,0
501,46,276.0,1,1,2,0
502,32,-170.0,0,0,1,1
503,37,230.0,1,1,1,0
504,29,9.0,1,0,1,0
505,41,946.0,1,0,1,0
506,45,1297.0,1,0,2,0
507,57,-331.0,1,0,1,0
508,48,44.0,1,0,1,0
509,60,15.0,0,0,1,1
510,26,712.0,1,0,1,0
511,58,5435.0,1,0,1,0
512,34,507.0,1,0,1,0
513,55,387.0,1,0,1,0
514,41,0.0,1,1,1,0
515,50,1716.0,1,0,1,0
516,49,167.0,1,1,3,0
517,44,40.0,0,1,2,1
518,44,148.0,1,0,1,0
519,31,17.0,1,1,1,0
520,34,1011.0,1,0,1,0
521,46,1527.0,1,0,1,0
522,42,744.0,0,0,1,1
523,52,484.0,1,0,1,0
524,29,0.0,1,0,1,0
525,53,136.0,1,0,2,0
526,43,1335.0,1,0,2,0
527,38,517.0,1,0,2,0
528,46,459.0,1,0,1,0
529,48,549.0,1,0,1,0
530,30,83.0,1,1,1,0
531,44,213.0,0,0,1,1
532,31,203.0,1,0,3,0
533,42,518.0,1,0,1,0
534,40,3877.0,1,0,1,0
535,52,1236.0,1,0,1,0
536,45,756.0,1,0,2,0
537,48,157.0,1,0,1,0
538,45,-66.0,1,0,2,0
539,34,245.0,1,0,1,0
540,34,-144.0,1,0,2,0
541,46,71.0,1,0,1,0
542,49,505.0,1,0,1,0
543,50,249.0,1,0,1,0
544,34,0.0,1,0,1,0
545,40,11.0,1,0,1,0
546,36,639.0,1,0,1,0
547,59,124.0,1,0,1,0
548,45,82.0,1,0,1,0
549,36,107.0,1,0,1,0
550,56,473.0,1,0,1,0
551,42,372.0,1,1,2,0
552,30,46.0,1,0,2,0
553,30,34.0,1,0,1,0
554,47,935.0,1,0,1,0
555,33,-10.0,1,0,1,0
556,36,-106.0,1,0,2,0
557,39,471.0,1,0,2,0
558,56,778.0,1,0,2,0
559,39,170.0,1,0,2,0
560,42,315.0,1,0,2,0
561,52,3165.0,0,0,1,1
562,36,131.0,1,0,1,0
563,35,204.0,1,0,2,0
564,47,83.0,1,0,2,0
565,59,0.0,1,1,1,0
566,57,5431.0,1,1,1,0
567,38,1759.0,1,0,1,0
568,46,-125.0,1,0,1,0
569,34,0.0,0,0,1,1
570,28,5090.0,1,0,3,0
571,38,573.0,1,0,1,0
572,56,1602.0,1,0,1,0
573,41,-137.0,1,1,1,0
574,52,0.0,0,0,1,1
575,54,193.0,0,0,1,1
576,61,195.0,1,1,1,0
577,53,288.0,0,0,1,1
578,47,19.0,1,0,2,0
579,53,25.0,1,0,3,0
580,46,216.0,1,0,2,0
581,39,190.0,1,1,2,0
582,56,99.0,1,0,2,0
583,55,2298.0,1,0,2,0
584,44,17.0,1,0,2,0
585,37,0.0,1,0,4,0
586,35,0.0,1,0,2,0
587,55,840.0,1,0,2,0
588,37,358.0,1,0,3,0
589,30,0.0,1,0,1,0
590,37,-325.0,1,1,2,0
591,36,-15.0,1,0,3,0
592,38,581.0,1,0,1,0
593,41,4070.0,1,0,2,0
594,48,74.0,0,1,1,1
595,55,141.0,1,0,2,0
596,28,89.0,0,0,2,1
597,54,0.0,1,0,3,0
598,30,450.0,0,0,2,1
599,48,310.0,0,0,1,1
600,31,0.0,1,0,5,0
601,38,384.0,1,0,3,0
602,37,395.0,1,0,2,0
603,37,-118.0,1,0,2,0
604,56,5.0,1,1,2,0
605,51,50.0,1,1,1,0
606,39,285.0,1,1,1,0
607,49,15.0,0,0,2,1
608,51,653.0,1,1,1,0
609,43,918.0,1,0,1,0
610,32,243.0,1,1,1,0
611,29,405.0,1,0,1,0
612,48,1328.0,1,0,1,0
613,55,255.0,1,0,1,0
614,53,3397.0,1,0,1,0
615,47,2106.0,1,0,1,0
616,39,2877.0,1,0,1,0
617,31,60.0,1,1,1,0
618,39,2226.0,1,0,1,0
619,40,2880.0,1,0,2,0
620,40,-5.0,1,0,2,0
621,48,147.0,0,0,3,1
622,33,7.0,1,1,1,0
623,40,109.0,1,0,2,0
624,59,-119.0,1,0,1,0
625,30,484.0,1,0,1,0
626,31,1852.0,1,0,3,0
627,35,533.0,1,0,1,0
628,54,21.0,1,0,2,0
629,34,2434.0,1,0,4,0
630,32,90.0,1,1,2,0
631,56,4246.0,1,0,2,0
632,32,395.0,1,0,3,0
633,42,15.0,1,0,1,0
634,33,85.0,0,0,3,1
635,52,-184.0,1,1,2,0
636,52,660.0,0,0,2,1
637,52,-183.0,1,0,1,0
638,30,1144.0,1,0,1,0
639,44,1.0,1,0,4,0
640,35,69.0,1,1,2,0
641,55,220.0,1,0,2,0
642,33,332.0,1,0,2,0
643,37,240.0,1,0,1,0
644,42,0.0,1,0,1,0
645,43,0.0,1,0,2,0
646,38,898.0,1,0,2,0
647,37,123.0,1,1,2,0
648,31,252.0,1,0,3,0
649,41,65.0,1,0,2,0
650,41,-366.0,1,1,3,0
651,29,209.0,1,0,2,0
652,38,221.0,1,0,2,0
653,44,4.0,1,0,3,0
654,39,104.0,1,0,1,0
655,28,312.0,1,0,1,0
656,33,-349.0,1,0,1,0
657,41,4.0,0,0,2,1
658,40,-322.0,1,1,1,0
659,29,-150.0,1,0,1,0
660,38,1349.0,1,0,1,0
661,32,281.0,1,0,1,0
662,45,1259.0,1,0,1,0
663,33,101.0,1,0,1,0
664,34,848.0,1,0,2,0
665,41,89.0,1,0,2,0
666,41,140.0,1,0,3,0
667,35,148.0,1,0,2,0
668,40,200.0,1,0,2,0
669,60,46.0,1,0,4,0
670,47,201.0,1,0,2,0
671,46,530.0,1,0,3,0
672,31,0.0,1,0,2,0
673,49,1.0,1,0,3,0
674,29,43.0,1,0,2,0
675,31,-173.0,1,0,2,0
676,38,389.0,1,0,1,0
677,37,215.0,1,1,3,0
678,35,-131.0,1,0,2,0
679,31,783.0,1,0,1,0
680,41,0.0,1,0,3,0
681,46,80.0,1,0,2,0
682,40,105.0,1,0,2,0
683,29,182.0,1,1,1,0
684,49,82.0,1,0,1,0
685,42,0.0,1,0,3,0
686,54,510.0,1,0,2,0
687,40,242.0,1,0,2,0
688,53,244.0,1,1,2,0
689,49,92.0,1,0,2,0
690,40,0.0,1,0,2,0
691,29,948.0,1,0,2,0
692,36,23.0,1,0,2,0
693,37,710.0,1,0,3,0
694,39,1205.0,1,0,2,0
695,36,368.0,1,1,2,0
696,44,1631.0,1,0,2,0
697,40,6.0,1,0,3,0
698,49,26.0,1,0,2,0
699,30,-48.0,1,0,2,0
700,57,2142.0,1,0,3,0
701,24,77.0,1,1,2,0
702,46,401.0,1,0,2,0
703,33,21.0,0,0,3,1
704,43,0.0,1,0,2,0
705,43,-497.0,1,0,2,0
706,40,369.0,0,0,2,1
707,44,78.0,1,0,6,0
708,35,226.0,1,1,3,0
709,47,503.0,1,0,2,0
710,33,372.0,1,0,2,0
711,31,0.0,1,1,2,0
712,40,0.0,1,0,2,0
713,36,125.0,1,0,3,0
714,56,4.0,1,0,3,0
715,40,419.0,1,0,3,0
716,41,322.0,1,0,4,0
717,53,303.0,1,0,2,0
718,39,607.0,1,0,2,0
719,44,579.0,1,0,2,0
720,38,3047.0,1,0,2,0
721,54,83.0,1,0,3,0
722,58,68.0,1,0,5,0
723,52,58.0,1,0,3,0
724,28,251.0,1,0,2,0
725,36,688.0,1,0,2,0
726,60,364.0,1,0,2,0
727,42,55.0,1,0,5,0
728,42,101.0,1,0,3,0
729,44,105.0,1,0,2,0
730,51,325.0,1,0,2,0
731,49,198.0,1,0,2,0
732,47,209.0,1,0,2,0
733,37,183.0,1,0,4,0
734,34,105.0,1,0,3,0
735,35,109.0,1,0,3,0
736,35,376.0,1,1,3,0
737,40,-7.0,1,0,2,0
738,55,0.0,0,0,3,1
739,55,143.0,1,0,3,0
740,35,550.0,1,0,2,0
741,57,162.0,1,0,2,0
742,53,115.0,1,0,3,0
743,41,512.0,1,0,2,0
744,57,807.0,1,0,2,0
745,45,248.0,1,0,5,0
746,43,1211.0,1,0,3,0
747,56,7.0,0,0,2,1
748,31,281.0,1,0,2,0
749,37,88.0,1,0,2,0
750,30,32.0,1,0,3,0
751,30,115.0,1,0,3,0
752,54,254.0,1,0,2,0
753,36,144.0,1,0,2,0
754,55,383.0,0,0,3,1
755,37,569.0,1,1,2,0
756,38,0.0,1,0,3,0
757,48,3754.0,1,0,3,0
758,55,6920.0,1,0,3,0
759,59,307.0,1,1,7,0
760,37,-421.0,1,0,5,0
761,33,60.0,0,0,3,1
762,44,67.0,1,0,2,0
763,57,402.0,1,0,3,0
764,30,800.0,0,0,2,1
765,42,239.0,1,1,3,0
766,51,421.0,1,0,2,0
767,44,161.0,1,0,2,0
768,46,289.0,0,0,3,1
769,29,110.0,1,0,3,0
770,39,245.0,1,0,3,0
771,42,0.0,1,0,3,0
772,50,156.0,1,0,3,0
773,42,0.0,1,0,4,0
774,39,20.0,1,0,2,0
775,55,92.0,1,0,3,0
776,46,89.0,1,0,2,0
777,42,166.0,1,0,3,0
778,45,103.0,1,0,4,0
779,43,-454.0,1,0,2,0
780,42,445.0,1,0,2,0
781,30,4.0,0,0,8,1
782,47,1001.0,1,0,4,0
783,51,-69.0,1,0,3,0
784,38,42.0,1,0,2,0
785,57,1617.0,1,0,2,0
786,42,221.0,1,0,2,0
787,32,210.0,1,1,2,0
788,46,0.0,0,0,2,1
789,29,185.0,1,0,3,0
790,59,836.0,1,0,1,0
791,32,301.0,1,0,2,0
792,44,503.0,1,0,2,0
793,40,407.0,1,0,1,0
794,31,53.0,1,0,1,0
795,46,2303.0,1,0,1,0
796,43,144.0,1,0,3,0
797,34,205.0,1,0,1,0
798,39,305.0,1,0,6,0
799,30,251.0,1,1,2,0
800,56,0.0,1,0,4,0
801,29,8.0,0,0,1,1
802,40,139.0,1,0,1,0
803,36,184.0,1,0,3,0
804,37,238.0,1,0,2,0
805,35,0.0,0,0,1,1
806,35,0.0,1,0,1,0
807,47,222.0,1,0,1,0
808,31,414.0,1,0,1,0
809,56,223.0,1,0,1,0
810,57,197.0,0,0,1,1
811,36,-251.0,1,0,1,0
812,45,-139.0,1,0,3,0
813,47,733.0,1,0,1,0
814,29,0.0,1,0,2,0
815,57,1.0,0,0,1,1
816,45,97.0,1,0,3,0
817,31,435.0,1,0,2,0
818,31,0.0,1,0,3,0
819,37,147.0,0,0,2,1
820,30,3.0,1,0,1,0
821,58,1109.0,1,1,1,0
822,33,404.0,1,0,1,0
823,39,981.0,1,0,1,0
824,33,95.0,1,0,1,0
825,34,302.0,1,0,1,0
826,36,-290.0,1,1,1,0
827,37,259.0,1,0,1,0
828,35,527.0,1,1,1,0
829,55,102.0,1,0,1,0
830,34,872.0,1,0,2,0
831,40,490.0,1,0,2,0
832,42,19.0,1,0,1,0
833,37,16.0,1,0,1,0
834,42,386.0,1,0,1,0
835,35,539.0,1,0,1,0
836,44,-329.0,1,0,1,0
837,30,-174.0,1,0,1,0
838,45,68.0,1,0,1,0
839,35,-532.0,1,0,1,0
840,36,0.0,1,0,2,0
841,49,64.0,1,0,3,0
842,31,1415.0,1,0,1,0
843,31,147.0,1,0,1,0
844,39,72.0,1,0,6,0
845,37,-196.0,1,0,1,0
846,33,716.0,1,0,3,0
847,37,0.0,1,0,1,0
848,42,-246.0,1,0,1,0
849,56,-203.0,1,0,1,0
850,37,245.0,1,1,2,0
851,36,342.0,1,0,1,0
852,29,3.0,1,0,1,0
853,54,-248.0,1,1,1,0
854,38,376.0,1,0,1,0
855,43,370.0,1,0,1,0
856,47,594.0,1,0,1,0
857,47,387.0,1,0,2,0
858,38,208.0,1,0,1,0
859,40,563.0,1,0,1,0
860,33,392.0,1,1,1,0
861,33,165.0,0,0,1,1
